time_s,roll_deg,pitch_deg
4.909216,81.0891,-22.3703
4.919214,80.1846,-22.1201
4.929213,79.3919,-22.0477
4.939211,78.6900,-22.3372
4.949210,78.0162,-22.6527
4.959208,77.5236,-22.4239
4.969206,77.5317,-21.4209
4.979205,78.1285,-19.7527
4.989203,79.2764,-17.9390
4.999202,80.6225,-16.3557
5.009200,81.8584,-15.1260
5.019198,83.0459,-14.1161
5.029197,84.5088,-12.9422
5.039195,86.3599,-11.3996
5.049194,88.4206,-9.5842
5.059192,90.4228,-7.6171
5.069190,92.2415,-5.5614
5.079189,93.7550,-3.6149
5.089187,94.8231,-1.7941
5.099186,95.3858,-0.1958
5.109184,95.4670,0.8995
5.119182,95.3628,1.6038
5.129181,95.9768,2.3109
5.139179,97.3675,3.0544
5.149177,99.0384,3.6800
5.159176,100.4600,4.1723
5.169174,101.1563,4.7028
5.179173,101.0076,5.1430
5.189171,100.4670,5.4618
5.199169,100.1356,5.5920
5.209168,100.4385,5.4122
5.219166,101.0378,5.1277
5.229165,101.5839,4.9818
5.239163,102.0743,5.1196
5.249161,102.5953,5.6520
5.259160,103.1656,6.5812
5.269158,103.6817,7.6305
5.279157,103.9282,8.5685
5.289155,103.9630,9.3002
5.299153,103.9669,9.8720
5.309151,104.0085,10.3550
5.319149,104.0658,10.7646
5.329148,104.1332,11.1120
5.339146,104.2640,11.3972
5.349144,104.5380,11.6366
5.359143,105.0821,11.9172
5.369141,105.8793,12.1701
5.379140,106.5668,12.2207
5.389138,106.9199,12.0294
5.399136,107.0839,11.7481
5.409135,107.1718,11.5463
5.419133,107.1203,11.6613
5.429132,106.8140,12.1881
5.439130,106.1679,13.1359
5.449128,105.2896,14.3385
5.459127,104.4260,15.4685
5.469125,103.8104,16.2186
5.479124,103.5033,16.5321
5.489122,103.3991,16.5808
5.499120,103.2707,16.4478
5.509119,102.7528,16.2146
5.519117,101.8114,15.7197
5.529116,100.7178,14.7967
5.539114,99.4690,13.5562
5.549112,97.9799,12.1300
5.559111,96.2741,10.8254
5.569109,94.5505,9.9478
5.579108,93.0309,9.4383
5.589106,91.6678,9.0541
5.599104,90.2958,8.6741
5.609103,88.8124,8.1099
5.619101,87.2181,7.4243
5.629100,85.5961,6.6800
5.639098,84.0134,5.8860
5.649096,82.5275,5.0633
5.659095,81.1457,4.2821
5.669093,79.8558,3.5482
5.679092,78.6165,2.8294
5.689090,77.4035,2.1359
5.699088,76.2132,1.5012
5.709087,75.0496,0.8910
5.719085,73.8992,0.4198
5.729084,72.9658,0.0640
5.739082,72.5884,-0.8295
5.749080,73.0145,-2.4430
5.759079,73.7909,-4.4395
5.769077,73.8493,-6.3352
5.779076,73.0282,-7.8799
5.789074,72.1059,-9.3087
5.799072,71.3350,-10.8161
5.809071,70.7868,-12.3176
5.819069,70.5065,-13.7009
5.829068,70.6433,-15.1005
5.839066,71.0417,-16.6139
5.849064,71.4982,-18.1700
5.859063,72.1599,-19.6599
5.869061,73.1563,-21.0251
5.879060,74.4573,-22.2734
5.889058,76.1168,-23.1868
5.899056,78.1332,-23.5315
5.909055,80.2522,-23.4859
5.919053,82.0364,-23.5749
5.929052,83.0686,-23.6003
5.939050,83.8869,-23.3342
5.949048,84.6131,-22.6859
5.959047,85.2163,-21.7724
5.969045,85.6248,-20.7648
5.979044,85.8751,-19.9603
5.989042,85.9567,-19.5335
5.999040,85.8005,-19.1710
6.009039,85.3404,-18.7834
6.019037,84.5959,-18.4957
6.029036,83.7263,-18.4183
6.039034,82.8426,-18.5276
6.049032,81.8561,-18.5639
6.059031,80.7994,-18.4992
6.069029,79.6918,-18.7499
6.079028,78.4446,-19.2387
6.089026,77.4320,-19.6875
6.099024,77.3087,-20.0865
6.109023,77.6284,-20.1199
6.119021,78.2226,-19.2278
6.129020,78.9498,-17.5157
6.139018,79.7773,-15.4827
6.149016,80.5792,-13.6736
6.159015,81.1343,-12.4416
6.169013,81.7022,-11.5421
6.179012,82.5566,-10.5596
6.189010,83.6068,-9.3903
6.199008,84.9960,-7.9675
6.209007,86.8232,-6.2420
6.219005,88.8714,-4.3850
6.229004,90.8862,-2.4924
6.239002,92.6534,-0.6483
6.249000,93.9501,1.0199
6.258999,94.6131,2.3677
6.268997,94.7692,3.2324
6.278996,94.8156,3.7471
6.288994,95.6230,4.2409
6.298992,97.2782,4.7521
6.308991,99.0139,5.1860
6.318989,100.2373,5.6706
6.328988,100.5484,6.2376
6.338986,100.0545,6.6158
6.348984,99.3076,6.7189
6.358983,98.9966,6.6613
6.368981,99.5302,6.5247
6.378980,100.3089,6.4433
6.388978,100.9275,6.5386
6.398976,101.3814,6.8675
6.408975,101.7386,7.5151
6.418973,102.0736,8.3140
6.428972,102.2681,9.1002
6.438970,102.3062,9.7705
6.448968,102.3062,10.3229
6.458967,102.2984,10.7618
6.468965,102.3105,11.2399
6.478964,102.4318,11.7761
6.488962,102.6244,12.3094
6.498960,102.9293,12.7014
6.508959,103.3553,12.9268
6.518957,103.8968,12.9647
6.528956,104.4508,12.8051
6.538954,104.8589,12.5097
6.548952,105.1066,12.2198
6.558951,105.2106,12.0479
6.568949,105.1449,12.1098
6.578948,104.8633,12.4934
6.588946,104.3622,13.2164
6.598944,103.7418,14.2170
6.608943,103.1796,15.2805
6.618941,102.8047,16.1701
6.628940,102.6752,16.6918
6.638938,102.6690,16.7920
6.648936,102.5441,16.5431
6.658935,102.1095,16.1539
6.668933,101.3545,15.7680
6.678931,100.3453,15.1754
6.688930,99.1682,14.2362
6.698928,97.8939,13.0401
6.708927,96.5041,11.6654
6.718925,95.0523,10.3832
6.728923,93.6722,9.4690
6.738922,92.3640,8.7740
6.748920,90.9331,8.1891
6.758919,89.3575,7.6976
6.768917,87.8006,7.1554
6.778915,86.2533,6.6268
6.788914,84.7280,6.0900
6.798912,83.2321,5.4745
6.808911,81.7723,4.7140
6.818909,80.3397,3.8297
6.828907,78.9405,2.9082
6.838906,77.5824,2.0249
6.848904,76.2563,1.1940
6.858903,74.9563,0.3866
6.868901,73.6760,-0.4125
6.878899,72.4129,-1.1733
6.888898,71.2700,-1.8308
6.898896,70.5815,-2.3284
6.908895,70.6614,-3.4572
6.918893,71.3853,-5.3054
6.928891,72.0188,-7.1131
6.938890,71.6375,-8.1758
6.948888,70.7825,-9.0907
6.958887,70.0473,-10.3052
6.968885,69.5091,-11.7519
6.978883,69.3078,-12.9684
6.988882,69.6493,-14.0698
6.998880,70.2371,-15.2712
7.008879,70.8596,-16.5961
7.018877,71.7813,-18.0549
7.028875,73.0010,-19.5087
7.038874,74.5263,-20.8516
7.048872,76.3507,-21.9450
7.058871,78.5514,-22.6809
7.068869,80.9482,-22.8237
7.078867,83.2357,-23.0317
7.088866,84.5210,-23.6096
7.098864,85.2180,-23.7430
7.108863,85.9971,-23.4440
7.118861,86.8065,-22.9469
7.128859,87.4186,-22.2753
7.138858,87.7759,-21.4720
7.148856,87.8855,-20.5815
7.158855,87.6244,-19.6488
7.168853,86.8940,-19.0021
7.178851,85.8094,-18.6464
7.188850,84.6700,-18.6028
7.198848,83.4932,-18.9034
7.208847,82.1226,-19.2112
7.218845,80.7209,-19.4592
7.228844,79.6535,-19.8377
7.238842,78.9657,-20.2709
7.248840,78.4270,-20.6102
7.258839,78.0053,-20.5976
7.268837,77.8114,-19.9729
7.278836,78.0074,-18.5740
7.288834,78.6538,-16.7282
7.298832,79.6179,-14.9091
7.308832,80.6546,-13.4121
7.318830,81.6859,-12.4376
7.328829,82.7005,-11.6961
7.338827,83.9642,-10.8480
7.348825,85.6708,-9.6055
7.358824,87.6052,-7.8685
7.368822,89.4645,-5.8206
7.378821,91.0833,-3.6933
7.388819,92.2833,-1.7514
7.398817,92.9895,-0.2262
7.408816,93.1827,0.7009
7.418814,93.0145,0.9842
7.428812,92.9159,1.0841
7.438811,93.8148,1.3184
7.448809,95.6437,1.7323
7.458808,97.7998,2.2142
7.468806,99.7336,2.8714
7.478805,101.0132,3.7645
7.488803,101.2877,4.4953
7.498801,100.7945,4.9067
7.508800,100.1491,4.9826
7.518798,100.0009,4.8074
7.528796,100.4458,4.7756
7.538795,100.9245,5.0705
7.548793,101.2477,5.6967
7.558792,101.5738,6.7575
7.568790,102.0729,8.1747
7.578788,102.5417,9.6345
7.588787,102.8735,10.9748
7.598785,103.1769,11.9876
7.608784,103.4531,12.5504
7.618782,103.6451,12.7555
7.628780,103.8024,12.7473
7.638779,104.0326,12.6555
7.648777,104.4012,12.5364
7.658776,104.7858,12.3465
7.668774,104.9969,12.1586
7.678772,105.0847,12.0353
7.688771,105.0983,12.1122
7.698769,105.1253,12.4071
7.708768,105.1866,12.8500
7.718766,105.2409,13.3809
7.728764,105.1947,13.9414
7.738763,104.9348,14.5203
7.748761,104.4649,15.0709
7.758760,103.9240,15.5362
7.768758,103.4826,15.8374
7.778756,103.1615,15.9437
7.788755,102.8377,15.9209
7.798753,102.3712,15.8842
7.808752,101.7170,15.8298
7.818750,100.8402,15.4026
7.828748,99.6614,14.4161
7.838747,98.2908,13.1338
7.848745,96.8282,11.8979
7.858744,95.2732,10.9423
7.868742,93.6715,10.2811
7.878740,92.1653,9.8591
7.888739,90.7604,9.4562
7.898737,89.2533,9.0113
7.908736,87.6921,8.4410
7.918734,86.1229,7.8288
7.928732,84.5438,7.1802
7.938731,82.9752,6.4541
7.948729,81.4668,5.6182
7.958727,80.0390,4.7075
7.968726,78.6930,3.7900
7.978724,77.4145,2.9419
7.988723,76.1989,2.1930
7.998721,75.0216,1.5104
8.008719,73.8112,0.9111
8.018718,72.6195,0.4188
8.028716,71.7397,0.1851
8.038715,71.4923,-0.5403
8.048713,72.0176,-2.2166
8.058711,72.6121,-3.9494
8.068710,72.4797,-5.2251
8.078708,71.7243,-6.1655
8.088707,70.8700,-7.1550
8.098705,70.2052,-8.4427
8.108703,69.7191,-9.8819
8.118702,69.5379,-11.2156
8.128700,69.6096,-12.8649
8.138699,69.8180,-14.7175
8.148697,70.5608,-16.7246
8.158695,71.8089,-18.7002
8.168694,73.3195,-20.5574
8.178692,75.2734,-22.2427
8.188691,77.9181,-23.3849
8.198689,80.8504,-23.4779
8.208687,83.7219,-23.0616
8.218686,86.2684,-22.9142
8.228684,87.4604,-23.1447
8.238683,88.1968,-22.9389
8.248681,88.9553,-22.3753
8.258679,89.6639,-21.7416
8.268678,90.1983,-21.4080
8.278676,90.6655,-21.1222
8.288675,90.9744,-20.4020
8.298673,90.6610,-19.3581
8.308672,89.6839,-18.6216
8.318670,88.3519,-18.1581
8.328668,87.0251,-18.2455
8.338667,85.5702,-18.8216
8.348665,83.8425,-19.4244
8.358664,82.1717,-20.0989
8.368662,81.0784,-20.7638
8.378660,80.4035,-21.3290
