"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.184523125E0,7.950219512E-1,-4.702632725E-1,-4.240014851E-1
1.194521125E0,7.908405066E-1,-4.973481596E-1,-3.540146649E-1
1.204519125E0,7.684828043E-1,-5.184241533E-1,-2.958912253E-1
1.214518125E0,7.158587575E-1,-5.498380065E-1,-2.236092985E-1
1.224516125E0,6.323415041E-1,-5.937979817E-1,-1.444005966E-1
1.234515125E0,5.035286546E-1,-7.015867829E-1,-1.430032253E-1
1.244513125E0,3.232016265E-1,-8.161886930E-1,-1.110286266E-1
1.254511125E0,1.595336050E-1,-9.503209591E-1,-9.879885614E-2
1.264510125E0,5.981364101E-2,-1.061209321E0,-1.784896255E-1
1.274508125E0,4.820572212E-2,-1.061318517E0,-2.924726605E-1
1.284507125E0,1.170697287E-1,-9.706513882E-1,-3.847733140E-1
1.294505125E0,2.167377174E-1,-9.073797464E-1,-4.384714365E-1
1.304499875E0,3.152250350E-1,-8.469318151E-1,-4.459944367E-1
1.314498875E0,4.033447802E-1,-7.580586672E-1,-4.198893309E-1
1.324496875E0,4.791793227E-1,-6.731480956E-1,-3.815729022E-1
1.334495875E0,5.108419061E-1,-6.130090952E-1,-3.276180625E-1
1.344493875E0,5.524474382E-1,-5.591889024E-1,-2.495983392E-1
1.354492875E0,6.230826974E-1,-5.357203484E-1,-1.795790344E-1
1.364490875E0,6.922653317E-1,-5.578374267E-1,-1.193394363E-1
1.374488875E0,7.578275204E-1,-5.542437434E-1,-6.943792105E-2
1.384487875E0,7.841128111E-1,-4.970838428E-1,1.612298936E-2
1.394485875E0,7.416686416E-1,-3.830986619E-1,1.648837030E-1
1.404484875E0,5.435993671E-1,-1.862129122E-1,3.496654034E-1
1.414482875E0,1.253251582E-1,1.719162017E-1,4.635429680E-1
1.424480875E0,-3.976934850E-1,5.774890184E-1,3.996389806E-1
1.434479875E0,-5.775356889E-1,1.196153879E0,3.316383660E-1
1.444477875E0,-4.064992368E-1,1.829494238E0,2.765184045E-1
1.454476875E0,-1.602346003E-1,2.189666033E0,1.815511286E-1
1.464474875E0,6.451246142E-2,2.253350735E0,2.272738516E-1
1.474473875E0,2.265293300E-1,1.943193674E0,4.118362367E-1
1.484471875E0,3.253336251E-1,1.312076330E0,6.369831562E-1
1.494469875E0,4.172614217E-1,7.056130171E-1,8.110785484E-1
1.504468875E0,6.172587276E-1,4.421536922E-1,8.776756525E-1
1.514466875E0,1.004696727E0,7.240479589E-1,8.334168792E-1
1.524465875E0,1.587595344E0,1.641642451E0,8.633158207E-1
1.534463875E0,1.905960798E0,2.551334620E0,1.138487935E0
1.544461875E0,2.022110224E0,3.194860935E0,1.484753251E0
1.554460875E0,1.907368541E0,3.718379259E0,1.846092343E0
1.564458875E0,1.464316964E0,4.178109646E0,2.242220640E0
1.574457875E0,8.619344234E-1,4.276791096E0,2.448958874E0
1.584455875E0,1.723481566E-1,3.485721111E0,1.995156884E0
1.594453875E0,-5.074535608E-1,1.879060984E0,7.934418917E-1
1.604452875E0,-3.895609975E-1,3.805693090E-1,-4.239494205E-1
1.614450875E0,6.710157394E-1,-7.580170631E-1,-9.838715792E-1
1.624449875E0,1.792245626E0,-1.600516438E0,-1.098686695E0
1.634447875E0,2.483196020E0,-1.854498386E0,-1.089983821E0
1.644445875E0,2.620587587E0,-1.410640478E0,-1.010013342E0
1.654444875E0,2.138128757E0,-3.387578428E-1,-7.936871648E-1
1.664442875E0,1.375767708E0,7.882441282E-1,-4.685741067E-1
1.674441875E0,7.634691596E-1,1.241763115E0,-1.386007220E-1
1.684439875E0,3.598798811E-1,1.007578731E0,9.772207588E-2
1.694437875E0,8.997569978E-2,5.256803036E-1,2.464846671E-1
1.704436875E0,-6.237358600E-2,1.006603986E-1,3.221831024E-1
1.714434875E0,-4.165672231E-3,-2.840577066E-1,3.067663312E-1
1.724433875E0,2.071454674E-1,-4.705021381E-1,2.139847726E-1
1.734431875E0,4.420993924E-1,-3.702399731E-1,1.488015205E-1
1.744429875E0,7.127419114E-1,-3.559410572E-2,1.021436751E-1
1.754428875E0,1.003450394E0,4.098044038E-1,4.138765112E-2
1.764426875E0,1.199900746E0,7.914403081E-1,-2.196752653E-2
