"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.369097625E0,1.546284485E-1,6.880442047E0,7.113956451E0,9.898119474E0
1.379095625E0,7.035369873E-1,7.115153961E0,8.315358124E0,1.096656559E1
1.389093625E0,1.419198761E0,7.467670898E0,9.533225555E0,1.219272829E1
1.399091625E0,2.256407776E0,8.002059631E0,1.044976959E1,1.335372678E1
1.409089625E0,2.733166351E0,8.448132019E0,1.104074066E1,1.416824221E1
1.419087625E0,2.346520386E0,8.534053345E0,1.097861984E1,1.410199695E1
1.429086625E0,1.433119812E0,8.277636566E0,1.001387604E1,1.307099127E1
1.439084625E0,1.053209839E0,7.860304413E0,8.217162323E0,1.141995591E1
1.449082625E0,9.521699524E-1,7.276368713E0,6.192921753E0,9.602314779E0
1.459080625E0,1.299747162E0,6.438560944E0,4.430935822E0,7.923231788E0
1.469078625E0,2.268682251E0,5.657634888E0,3.035387878E0,6.809503011E0
1.479076625E0,4.856201477E0,6.361920319E0,9.624984741E-1,8.061211214E0
1.489074625E0,7.541168060E0,8.732390900E0,-1.025517426E0,1.158341714E1
1.499073625E0,8.994495850E0,1.458252548E1,1.789528656E0,1.722653238E1
1.509071625E0,9.709858246E0,2.368404877E1,3.311114502E0,2.581044348E1
1.519069625E0,8.305628357E0,2.769465866E1,5.845643921E0,2.949829035E1
1.529067625E0,3.530707855E0,2.286046143E1,9.491163025E0,2.500297523E1
1.539065625E0,-5.945635986E-1,1.375310028E1,2.871927795E0,1.406233418E1
1.549063625E0,-1.352886658E0,6.976093140E0,-4.773573303E0,8.560559554E0
1.559061625E0,-4.767585754E-1,3.937262421E0,-4.976700897E0,6.363716361E0
1.569060625E0,8.437953186E-1,2.960992584E0,-3.506158905E0,4.666113789E0
1.579058625E0,1.106798401E0,2.931952972E0,-2.877017212E0,4.254242467E0
1.589056625E0,5.032534790E-1,3.726051636E0,-2.909649353E0,4.754238552E0
1.599054625E0,-3.203338623E-1,4.856500854E0,-3.277284851E0,5.867606866E0
1.609052625E0,-1.229543152E0,5.852230225E0,-4.038002930E0,7.215666471E0
1.619050625E0,-2.069296875E0,7.016509094E0,-4.963378601E0,8.840164962E0
1.629048625E0,-2.490371246E0,8.575068054E0,-4.663552094E0,1.007385027E1
1.639046625E0,-3.013233948E0,1.015862503E1,-2.852318573E0,1.097328404E1
1.649045625E0,-2.861898651E0,1.230905319E1,-8.894503784E-1,1.266863751E1
1.659043625E0,-2.092199249E0,1.490121277E1,1.175505524E0,1.509321877E1
1.669041625E0,-1.409618683E0,1.700778214E1,3.766916656E0,1.747688013E1
1.679039625E0,-1.213526459E0,1.753438705E1,5.067412262E0,1.829223996E1
1.689037625E0,-1.676813049E0,1.570848404E1,4.544998627E0,1.643852747E1
1.699035625E0,-1.614392853E0,1.221639587E1,3.975133667E0,1.294790640E1
1.709033625E0,-3.589535522E-1,9.320068817E0,2.761457520E0,9.727187571E0
1.719032625E0,5.507048035E-1,8.028554535E0,1.370998993E0,8.163369521E0
1.729030625E0,5.529501343E-1,7.721842346E0,9.653425598E-1,7.801569671E0
1.739028625E0,4.754113770E-1,7.905360718E0,1.368454285E0,8.037002624E0
1.749026625E0,7.334747314E-1,8.293054504E0,2.011067963E0,8.564877848E0
1.759024625E0,1.307830353E0,8.584797821E0,2.874771881E0,9.147321314E0
1.769022625E0,1.577419739E0,8.500523071E0,3.575015717E0,9.355633751E0
1.779020625E0,1.127904510E0,8.359965363E0,3.071013794E0,8.977322272E0
1.789019625E0,7.972421265E-1,8.641829224E0,2.498753815E0,9.031089523E0
1.799017625E0,1.256038055E0,9.248517609E0,1.398392029E0,9.437595553E0
1.809015625E0,1.532363434E0,9.396559753E0,1.211430817E0,9.597449532E0
1.819013833E0,1.709744568E0,9.782457275E0,2.070644073E0,1.014432175E1
1.829011833E0,1.596130829E0,1.053628967E1,1.974693604E0,1.083791717E1
1.839009833E0,1.188378754E0,1.096484848E1,1.205293579E0,1.109472302E1
1.849007833E0,2.697390747E-1,1.023376877E1,5.415737915E-1,1.025163814E1
1.859005833E0,-1.787283325E-1,9.233997803E0,8.644523621E-1,9.276094929E0
1.869004833E0,-1.676513672E-2,8.619675293E0,1.602866821E0,8.767454891E0
1.879002833E0,7.319778442E-2,8.219856720E0,2.031725006E0,8.467544444E0
1.889000833E0,-2.055226135E-1,8.395291901E0,2.050436096E0,8.644504256E0
1.898998833E0,-5.034031677E-1,8.857830048E0,1.705702972E0,9.034599633E0
1.908996833E0,-6.343807983E-1,9.409283295E0,1.280886383E0,9.517232846E0
1.918994833E0,-3.297642517E-1,1.014679962E1,6.830296326E-1,1.017510769E1
1.928992833E0,1.007405090E-1,1.043270508E1,3.490740967E-1,1.043902949E1
1.938991833E0,-1.103205872E-1,1.062864761E1,5.749543762E-1,1.064475896E1
1.948989833E0,-4.510121155E-1,1.087608307E1,1.274300079E0,1.095976439E1
