"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.186451250E-1,1.231339417E0,-7.837701416E-1,9.770033112E0,9.878463413E0
9.286441250E-1,1.221609650E0,-7.828720093E-1,9.768087158E0,9.875259260E0
9.386421250E-1,1.209933929E0,-7.834707642E-1,9.747280426E0,9.853285861E0
9.486401250E-1,1.182091827E0,-8.050259399E-1,9.740544434E0,9.844979112E0
9.586381250E-1,1.142124939E0,-8.044271851E-1,9.739945679E0,9.839618605E0
9.686361250E-1,1.109343109E0,-8.126600647E-1,9.740095367E0,9.836692345E0
9.786341250E-1,1.069525909E0,-8.175997925E-1,9.734407196E0,9.827056454E0
9.886321250E-1,1.043629761E0,-8.114625549E-1,9.735455017E0,9.824801217E0
9.986301250E-1,1.023870850E0,-8.126600647E-1,9.748028870E0,9.835283155E0
1.008628125E0,1.013242950E0,-8.107141113E-1,9.761351166E0,9.847227794E0
1.018626125E0,9.771679688E-1,-7.952961731E-1,9.752519531E0,9.833564483E0
1.028625125E0,9.448352051E-1,-7.735913086E-1,9.744735718E0,9.820948594E0
1.038623125E0,9.238787842E-1,-7.478448486E-1,9.738299103E0,9.810570490E0
1.048621125E0,8.936416626E-1,-7.253915405E-1,9.734407196E0,9.802217696E0
1.058619125E0,9.095086670E-1,-7.069798279E-1,9.731413422E0,9.799358840E0
1.068617125E0,9.039701843E-1,-6.861730957E-1,9.707463226E0,9.773578562E0
1.078615125E0,8.964857483E-1,-6.800358582E-1,9.727671204E0,9.792534019E0
1.088613125E0,9.084608459E-1,-6.798861694E-1,9.746082916E0,9.811915130E0
1.098611125E0,9.147477722E-1,-6.839277649E-1,9.772428131E0,9.838946704E0
1.108609125E0,9.328601074E-1,-6.818321228E-1,9.781559143E0,9.849569650E0
1.118607125E0,9.303153992E-1,-6.839277649E-1,9.777068481E0,9.845014577E0
1.128606125E0,9.358538818E-1,-6.764433289E-1,9.776619415E0,9.844576439E0
1.138604125E0,9.478289795E-1,-6.902146912E-1,9.768985291E0,9.839098013E0
1.148602125E0,9.692344666E-1,-6.932084656E-1,9.762099609E0,9.834558567E0
1.158600125E0,9.705816650E-1,-7.119195557E-1,9.761500854E0,9.835433755E0
1.168598125E0,9.710307312E-1,-7.301815796E-1,9.743987274E0,9.819437551E0
1.178596125E0,9.858499146E-1,-7.397616577E-1,9.748627625E0,9.826234677E0
1.188594125E0,9.910890198E-1,-7.664062500E-1,9.748028870E0,9.828209543E0
1.198592125E0,1.007854156E0,-7.884104919E-1,9.737550659E0,9.821265394E0
1.208590125E0,1.012644196E0,-7.903564453E-1,9.746232605E0,9.830521938E0
1.218589125E0,1.031804352E0,-8.033793640E-1,9.724527740E0,9.812057807E0
1.228587125E0,1.047072601E0,-7.994874573E-1,9.711205444E0,9.800155734E0
1.238585125E0,1.054706726E0,-7.918533325E-1,9.724078674E0,9.813110824E0
1.248583125E0,1.067729645E0,-7.893086243E-1,9.727371826E0,9.817576959E0
1.258581125E0,1.080153809E0,-7.830216980E-1,9.733509064E0,9.824512910E0
1.268579125E0,1.067879333E0,-7.768844604E-1,9.737400970E0,9.826540256E0
1.278577125E0,1.042132874E0,-7.846682739E-1,9.755213928E0,9.842049787E0
1.288575125E0,1.015488281E0,-7.949967957E-1,9.757309570E0,9.842170818E0
1.298573125E0,9.767189026E-1,-8.120613098E-1,9.733359375E0,9.815890592E0
1.308572125E0,9.352551270E-1,-8.214916992E-1,9.715097351E0,9.794522311E0
1.318570125E0,8.994795227E-1,-8.301736450E-1,9.715247040E0,9.792051712E0
1.328568125E0,8.666976929E-1,-8.053253174E-1,9.733958130E0,9.805593028E0
1.338566125E0,8.379574585E-1,-7.849676514E-1,9.745484161E0,9.812889914E0
1.348564125E0,8.075706482E-1,-7.711962891E-1,9.755513306E0,9.819213508E0
1.358562125E0,7.934999084E-1,-7.643106079E-1,9.772278442E0,9.834187245E0
1.368560125E0,7.813751221E-1,-7.596702576E-1,9.783056030E0,9.843568015E0
1.378558125E0,7.783813477E-1,-7.659571838E-1,9.793833618E0,9.854529155E0
1.388556125E0,7.649093628E-1,-7.479945374E-1,9.799671478E0,9.857897506E0
1.398554125E0,7.743397522E-1,-7.309300232E-1,9.800719299E0,9.858395383E0
1.408553125E0,7.791297913E-1,-7.194039917E-1,9.791438599E0,9.848698146E0
1.418551125E0,7.704478455E-1,-7.002438354E-1,9.778715057E0,9.833981873E0
1.428549125E0,7.743397522E-1,-6.936575317E-1,9.762099609E0,9.817298590E0
1.438547125E0,7.958949280E-1,-6.924600220E-1,9.772577820E0,9.829355364E0
1.448545125E0,8.190966797E-1,-7.033872986E-1,9.784702606E0,9.844088488E0
1.458543125E0,8.331674194E-1,-7.090754700E-1,9.780511322E0,9.841511962E0
1.468541125E0,8.759783936E-1,-7.240443420E-1,9.789642334E0,9.855388140E0
1.478539125E0,8.981323242E-1,-7.481442261E-1,9.776619415E0,9.846250487E0
1.488537125E0,9.271719360E-1,-7.602690125E-1,9.762398987E0,9.835755728E0
1.498536125E0,9.502239990E-1,-7.797285461E-1,9.757908325E0,9.835022986E0
1.508534125E0,9.737251282E-1,-7.797285461E-1,9.760602722E0,9.839994041E0
1.518532125E0,9.988728333E-1,-7.765850830E-1,9.764943695E0,9.846570809E0
1.528530125E0,1.009051666E0,-7.644602966E-1,9.768985291E0,9.850667917E0
1.538528125E0,1.004860382E0,-7.536827087E-1,9.779912567E0,9.860247047E0
1.548526125E0,1.015787659E0,-7.677534485E-1,9.783056030E0,9.865569179E0
