"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.271912875E0,-2.149080963E0,9.266330566E0,2.678979034E0,9.882325628E0
1.281910875E0,-2.205812988E0,9.174870758E0,2.609224091E0,9.790399109E0
1.291908875E0,-2.170187073E0,9.074279938E0,2.558180237E0,9.674531226E0
1.301907875E0,-2.126477966E0,9.036109314E0,2.578537903E0,9.634419432E0
1.311905875E0,-2.175575867E0,9.001980286E0,2.636168060E0,9.629027025E0
1.321903875E0,-2.233355713E0,8.995393982E0,2.634521484E0,9.635647051E0
1.331901875E0,-2.319875793E0,9.000333710E0,2.652334442E0,9.665542332E0
1.341900875E0,-2.394869843E0,9.030570831E0,2.708018646E0,9.727279994E0
1.351898875E0,-2.442321167E0,9.052874451E0,2.777174835E0,9.779170137E0
1.361896875E0,-2.446362762E0,9.064400482E0,2.809956665E0,9.800199147E0
1.371894875E0,-2.415676575E0,9.073381805E0,2.825075226E0,9.805243533E0
1.381892875E0,-2.339035950E0,9.119934998E0,2.857407990E0,9.839160734E0
1.391891875E0,-2.245181122E0,9.181307373E0,2.853965149E0,9.873315574E0
1.401889875E0,-2.170486450E0,9.203461304E0,2.834505615E0,9.871632767E0
1.411887875E0,-2.120789795E0,9.220525818E0,2.844983826E0,9.879766125E0
1.421885875E0,-2.041155396E0,9.230704651E0,2.833008728E0,9.869050722E0
1.431883875E0,-1.984573059E0,9.226962433E0,2.795287170E0,9.843220831E0
1.441882875E0,-1.917961578E0,9.219777374E0,2.751877441E0,9.810998976E0
1.451880875E0,-1.860930176E0,9.230255585E0,2.696791992E0,9.794557996E0
1.461878875E0,-1.829196167E0,9.243278503E0,2.704126740E0,9.802880063E0
1.471876875E0,-1.781445465E0,9.263187103E0,2.687960358E0,9.808430768E0
1.481874875E0,-1.754351807E0,9.293424225E0,2.678829346E0,9.829629227E0
1.491873875E0,-1.735940094E0,9.298962708E0,2.712808685E0,9.840910853E0
1.501871875E0,-1.750160522E0,9.291029205E0,2.760409698E0,9.849169876E0
1.511869875E0,-1.787582703E0,9.267528076E0,2.781515808E0,9.839682858E0
1.521867875E0,-1.816173248E0,9.261390839E0,2.764900360E0,9.834455732E0
1.531865875E0,-1.847757568E0,9.256451111E0,2.733765106E0,9.826981574E0
1.541864875E0,-1.845961304E0,9.253157959E0,2.713706818E0,9.817978918E0
1.551862875E0,-1.831591187E0,9.268875275E0,2.717149658E0,9.831056779E0
1.561860875E0,-1.835932159E0,9.272467804E0,2.743644562E0,9.842605933E0
1.571858875E0,-1.838776245E0,9.283095703E0,2.761158142E0,9.858040282E0
1.581856875E0,-1.830992432E0,9.295370178E0,2.768642578E0,9.870249326E0
1.591855875E0,-1.846560059E0,9.273815002E0,2.747686157E0,9.846989792E0
