"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.710916250E-1,-1.523382111E0,8.952433319E0,1.197360077E0,9.159717602E0
8.810886250E-1,-1.271156616E0,9.021290131E0,1.775757294E0,9.281854811E0
8.910866250E-1,-9.496252441E-1,9.235045624E0,2.195484467E0,9.539811729E0
9.010846250E-1,-7.210505676E-1,9.487570496E0,2.320025482E0,9.793693178E0
9.110826250E-1,-7.138655090E-1,9.572593689E0,2.115101624E0,9.829435832E0
9.210806250E-1,-8.228388977E-1,9.647438049E0,1.904639282E0,9.868017813E0
9.310786250E-1,-9.762698364E-1,9.937534790E0,1.967358856E0,1.017733764E1
9.410766250E-1,-1.132395172E0,1.017104919E1,2.068249054E0,1.044079569E1
9.510746250E-1,-1.328038330E0,1.030262558E1,2.106868744E0,1.059937147E1
9.610726250E-1,-1.428928528E0,1.035830978E1,1.899400177E0,1.062751802E1
9.710706250E-1,-1.381926270E0,1.014305740E1,1.510059814E0,1.034754146E1
9.810686250E-1,-1.285676422E0,9.953401794E0,1.233884125E0,1.011165868E1
9.910666250E-1,-1.211580505E0,9.995164948E0,1.186283112E0,1.013797402E1
1.001064625E0,-1.188678131E0,1.026475433E1,1.208736420E0,1.040380608E1
1.011062625E0,-1.308279419E0,1.050814819E1,8.882528687E-1,1.062646539E1
1.021060625E0,-1.663490753E0,1.038690033E1,1.948947144E-1,1.052106857E1
1.031058625E0,-1.842518463E0,1.013302826E1,-5.635780334E-1,1.031458948E1
1.041056625E0,-1.588945770E0,1.010054581E1,-1.141226807E0,1.028825412E1
1.051054625E0,-1.139280853E0,1.018497025E1,-1.310375061E0,1.033192444E1
1.061052625E0,-6.105802917E-1,1.040815613E1,-1.090931396E0,1.048296969E1
1.071050625E0,-2.406994629E-1,1.082653610E1,-8.523275757E-1,1.086270144E1
1.081048625E0,-1.199006653E-1,1.157048904E1,-6.780899048E-1,1.159096194E1
1.091046625E0,-1.805245972E-1,1.227043350E1,-6.346801758E-2,1.227192551E1
1.101044625E0,-6.399192810E-1,1.252625153E1,1.019829254E0,1.258397893E1
1.111042625E0,-1.258133698E0,1.218900284E1,2.008672943E0,1.241730476E1
1.121043042E0,-1.666933594E0,1.162587387E1,2.695295105E0,1.205007164E1
1.131041042E0,-2.058818665E0,1.142424316E1,2.968477020E0,1.198181631E1
1.141039042E0,-2.584226074E0,1.169248535E1,2.817590790E0,1.230167696E1
1.151037042E0,-3.123105469E0,1.199126404E1,2.896626434E0,1.272535444E1
1.161035042E0,-3.215313721E0,1.210353058E1,3.157533875E0,1.291525125E1
1.171032042E0,-3.035238190E0,1.195788345E1,3.332819366E0,1.277933224E1
1.181030042E0,-3.086431732E0,1.147678391E1,3.466042328E0,1.237966393E1
1.191028042E0,-3.265309753E0,1.060634399E1,3.500770111E0,1.163667358E1
1.201026042E0,-3.490740967E0,9.519903259E0,3.346590729E0,1.067771043E1
1.211024042E0,-3.634292450E0,8.724008331E0,3.309916992E0,1.001358844E1
1.221022042E0,-3.559148712E0,8.201145630E0,3.390599213E0,9.561510980E0
1.231020042E0,-3.193159790E0,7.657925262E0,3.379821625E0,8.958977787E0
1.241018042E0,-2.618654480E0,6.968309326E0,3.256627808E0,8.125288354E0
1.251016042E0,-1.872605896E0,6.220165100E0,3.017874298E0,7.162727971E0
1.261014042E0,-1.005459137E0,5.524262238E0,2.845732269E0,6.294967315E0
1.271012042E0,-6.691085815E-2,4.948409729E0,2.592908020E0,5.586985583E0
1.281010042E0,6.719526672E-1,4.622088318E0,2.412084045E0,5.256745214E0
1.291008042E0,1.252595215E0,4.761747894E0,2.423310699E0,5.487774825E0
1.301006042E0,1.529818726E0,5.583089905E0,2.839595032E0,6.447832051E0
1.311004042E0,1.459614716E0,6.914271698E0,3.368145905E0,7.828284299E0
1.321002042E0,1.643881531E0,8.384514313E0,3.351081390E0,9.177808738E0
1.331000042E0,1.742077332E0,9.572593689E0,2.509381714E0,1.004820282E1
1.340998042E0,1.145567780E0,9.969568176E0,1.109941864E0,1.009636499E1
1.350996042E0,-6.152206421E-2,9.799222412E0,-6.556365967E-2,9.799634863E0
1.360994042E0,-1.275048523E0,1.006117767E1,-3.433859253E-1,1.014746071E1
1.370992042E0,-1.911974030E0,1.122695343E1,5.096900940E-1,1.139999614E1
1.380990042E0,-2.229463806E0,1.262429764E1,2.080523529E0,1.298737764E1
1.390988042E0,-2.393971710E0,1.468551132E1,4.882247314E0,1.565987491E1
1.400986042E0,-1.605561218E0,1.692395645E1,8.623866577E0,1.906224550E1
1.410984042E0,-5.026547241E-1,1.703367828E1,6.724765778E0,1.831997086E1
1.420982042E0,-1.483265533E0,1.671065002E1,4.706512756E0,1.742403981E1
1.430980042E0,-3.599564667E0,1.699011887E1,4.023333435E0,1.782717636E1
1.440977042E0,-4.316573639E0,1.860690674E1,4.776716766E0,1.968925619E1
1.450975042E0,-1.683848419E0,2.140713364E1,4.310735779E0,2.190167023E1
1.460973042E0,1.669029236E0,2.251947052E1,4.023632812E0,2.293690982E1
1.470971042E0,3.074157257E0,1.993150223E1,4.516857147E0,2.066681452E1
1.480969042E0,4.104165344E0,1.669163956E1,4.644541626E0,1.780524561E1
1.490967042E0,4.238436127E0,1.362197296E1,4.313879242E0,1.490409482E1
1.500965042E0,2.621348877E0,1.168425247E1,4.493655396E0,1.279008071E1
1.510963042E0,1.688339081E0,1.072235275E1,4.832850037E0,1.188174132E1
1.520961042E0,1.071022797E0,9.337732086E0,4.351900177E0,1.035757527E1
1.530959042E0,1.162931671E0,7.825726318E0,3.739074554E0,8.750718885E0
1.540957042E0,1.429078217E0,6.593189392E0,3.570974121E0,7.633103372E0
1.550955042E0,1.609303436E0,5.740263062E0,3.331921234E0,6.829507792E0
1.560953042E0,1.828447723E0,5.111570435E0,3.359463959E0,6.384150020E0
1.570951042E0,2.912493439E0,4.697980499E0,3.579207001E0,6.585162227E0
1.580949042E0,3.972888336E0,3.522175598E0,3.661086731E0,6.449272729E0
1.590947042E0,4.150119781E0,2.036664734E0,3.213367767E0,5.630029294E0
1.600945042E0,5.082979889E0,6.182144165E-1,1.951042786E0,5.479547570E0
1.610943042E0,6.169121246E0,-1.441502380E-1,5.685177612E-1,6.196938655E0
1.620941042E0,6.549480286E0,4.646337891E-1,-2.315684509E-1,6.570022870E0
1.630939042E0,5.577102356E0,1.429976349E0,-4.152365112E-1,5.772462595E0
1.640937042E0,3.936513977E0,2.722837830E0,-2.426454163E-1,4.792584369E0
1.650935042E0,3.100203094E0,4.648882599E0,-2.918930054E-1,5.595406167E0
1.660933042E0,3.478616180E0,6.444548492E0,2.439926147E-2,7.323494461E0
1.670931042E0,3.575913849E0,6.413113861E0,1.739832001E0,7.546005873E0
1.680929042E0,2.890189819E0,3.283871155E0,2.070793762E0,4.839958033E0
1.690927042E0,3.334016876E0,7.535330200E-1,-3.733236694E-1,3.438437306E0
1.700925042E0,2.491568756E0,2.258802795E-1,-3.387755127E0,4.211391880E0
1.710923042E0,2.349364471E0,2.978805542E-2,-3.727099457E0,4.405867804E0
1.720921042E0,3.254382477E0,8.083190918E-2,-4.087699585E0,5.225593459E0
1.730918042E0,3.779191132E0,1.077160034E0,-7.635322266E0,8.587240852E0
1.740916042E0,2.550097046E0,2.133513336E0,-1.557436295E1,1.592531492E1
1.750914042E0,5.626799011E-1,6.359225922E0,-1.618015320E1,1.739407142E1
1.760912042E0,1.759590912E0,1.250424728E1,-1.197554672E1,1.740304800E1
1.770910042E0,3.240461426E0,1.832504288E1,-1.045605652E1,2.134565306E1
1.780908042E0,1.115480347E0,2.191023743E1,-7.818990326E0,2.329032868E1
1.790906042E0,-3.335962830E0,2.999267990E1,-2.012564850E0,3.024466751E1
1.800904042E0,-6.179000702E0,3.152145081E1,-9.077124023E-1,3.213418511E1
1.810902042E0,-6.040538635E0,2.389046951E1,-5.959706726E0,2.535272658E1
1.820900042E0,-8.175399170E0,1.918305862E1,4.255800018E0,2.128235710E1
1.830898042E0,-5.123844910E0,1.596579895E1,9.010512543E0,1.903548946E1
1.840896042E0,2.170336761E0,1.311392944E1,7.303312683E0,1.516653828E1
1.850894042E0,6.565646667E0,1.500000732E1,1.264734970E1,2.068969285E1
1.860892042E0,6.780000916E0,1.757225830E1,1.243449234E1,2.256921075E1
1.870890042E0,2.358345795E0,1.868938522E1,9.295519867E0,2.100622776E1
1.880888042E0,-1.054407349E0,2.075703552E1,5.109923859E0,2.140274796E1
1.890886042E0,-1.884131927E0,2.181728073E1,2.902314606E0,2.208997786E1
1.900884042E0,-2.714006195E0,2.088217529E1,3.171305237E0,2.129526359E1
1.910882042E0,-3.485501862E0,1.954575439E1,4.274361420E0,2.030899810E1
1.920880042E0,-4.389921112E0,1.519130951E1,3.511547699E0,1.619809431E1
1.930878042E0,-5.507347412E0,1.015218842E1,7.300767975E0,1.366378491E1
1.940876042E0,-6.621181183E0,8.306077423E0,1.164578247E1,1.576246211E1
1.950874042E0,-5.854924622E0,9.104217682E0,1.150118317E1,1.579380056E1
1.960872042E0,-1.636546783E0,9.108408966E0,1.072534653E1,1.416596122E1
1.970869042E0,2.439926147E-1,5.289400635E0,1.020682480E1,1.149854617E1
1.980867042E0,-1.103505249E0,2.047741699E0,9.543404388E0,9.822806993E0
1.990865042E0,-3.270249481E0,2.664010162E0,9.832602997E0,1.069913845E1
2.000863042E0,-3.622916107E0,2.952909393E0,7.697892151E0,9.005705890E0
2.010861042E0,-2.717898102E0,3.499572601E0,3.992647247E0,5.964495832E0
2.020859042E0,-2.137854309E0,4.054468689E0,-2.978805542E-1,4.593241799E0
2.030857042E0,-2.336042175E0,3.734733582E0,-2.814746704E0,5.227631106E0
2.040855042E0,-2.429597626E0,2.846331024E0,-3.116519165E0,4.870034561E0
2.050853042E0,-2.405048676E0,1.842668152E0,-3.055895233E0,4.303275581E0
2.060851042E0,-2.497256927E0,1.325792999E0,-1.851350098E0,3.379573408E0
2.070849042E0,-2.142943726E0,2.176923065E0,-1.181642761E0,3.275283416E0
2.080847042E0,-9.436376953E-1,4.189637604E0,-1.042881317E0,4.419402312E0
2.090845042E0,3.388952637E-1,6.964118042E0,2.572400665E0,7.431758559E0
2.100843042E0,7.120692444E-1,1.066247726E1,8.150251465E0,1.343957079E1
2.110841042E0,-2.933898926E-2,1.372376129E1,7.528294830E0,1.565304149E1
2.120835542E0,9.298663330E-1,1.675391006E1,4.398752747E0,1.734667633E1
2.130833542E0,3.836671600E0,2.210243774E1,1.997895355E0,2.252175369E1
2.140831542E0,9.536069641E0,3.124108383E1,-1.152603149E-1,3.266428062E1
2.150829542E0,1.289987457E1,3.738475800E1,1.601070557E0,3.958017586E1
2.160827542E0,8.441994781E0,3.457001129E1,6.775360565E0,3.622510825E1
2.170825542E0,7.939639435E0,3.076282837E1,8.876092072E0,3.298748996E1
2.180823542E0,8.078400879E0,3.224280075E1,7.852370911E0,3.415433340E1
2.190821542E0,5.597759399E0,3.110636398E1,7.966733093E0,3.259462573E1
2.200819542E0,3.017425232E0,2.728406250E1,6.214925995E0,2.814516347E1
2.210816542E0,1.738933868E0,2.074401260E1,3.285817108E0,2.107449985E1
2.220814542E0,-1.523831177E-1,1.181867294E1,1.458566895E0,1.190931015E1
2.230812542E0,-1.795366516E0,1.084045715E0,4.122427368E-1,2.137390960E0
2.240810542E0,-1.450932770E0,-8.067024536E0,6.240522766E-1,8.220190510E0
2.250808542E0,2.709665222E0,-7.879314880E0,8.113128662E-1,8.371625718E0
2.260806542E0,6.541546783E0,-4.864134979E0,1.728904724E-1,8.153620946E0
2.270804542E0,7.427404633E0,-1.510359192E0,-1.570234680E-1,7.581040881E0
2.280802542E0,7.357200623E0,-1.472937012E0,-8.397537231E-2,7.503665525E0
2.290800542E0,6.938371582E0,-2.250569916E0,-4.501139832E-1,7.308123409E0
2.300798542E0,5.995033264E0,-1.788780212E0,-6.096821594E-1,6.285846866E0
2.310796542E0,5.821544037E0,-1.204245758E0,-1.238524475E0,6.072439847E0
2.320794542E0,4.164489899E0,-1.454225922E0,-2.938688965E0,5.300343572E0
2.330792542E0,1.378633118E0,-1.531614990E0,-4.830904083E0,5.252057503E0
2.340790542E0,-2.719844055E-1,-2.243833923E0,-6.273753662E0,6.668489425E0
2.350788542E0,-1.018781433E0,-3.721261597E0,-6.701114960E0,7.732441088E0
2.360786542E0,-1.386267242E0,-4.406536560E0,-6.422693939E0,7.911403084E0
2.370784542E0,-5.198689270E-1,-3.705843658E0,-4.837340698E0,6.115832401E0
2.380782542E0,4.352947998E-1,-1.790277100E0,-3.749103699E0,4.177361871E0
2.390780542E0,8.165519714E-1,6.447093201E-1,-2.584226074E0,2.785791024E0
2.400778542E0,1.902843018E0,3.936214600E0,-6.544390869E-1,4.420733813E0
2.410776542E0,2.904559937E0,6.662046204E0,2.545905762E0,7.700711928E0
2.420774542E0,3.448229370E0,8.810378723E0,7.298073578E0,1.194884668E1
2.430772542E0,4.227209473E0,1.258702515E1,1.331690735E1,1.880538549E1
2.440770542E0,8.991801453E-1,1.814451828E1,1.621817413E1,2.435284872E1
2.450768542E0,-2.216740265E0,1.754007523E1,5.986950073E0,1.866579084E1
2.460765542E0,2.915936279E-1,1.593990280E1,-8.224197693E0,1.793886718E1
2.470763542E0,2.461631012E0,1.655153091E1,-1.556777664E1,2.285538169E1
2.480761542E0,6.264772339E0,1.791759018E1,-1.431907333E1,2.377652774E1
2.490759542E0,9.475595398E0,1.688833054E1,-9.881850586E0,2.174059768E1
2.500757542E0,1.005414230E1,1.487052658E1,-3.194506989E0,1.823247688E1
2.510755542E0,7.908653870E0,1.123129440E1,-7.909552002E-1,1.375915659E1
2.520753542E0,4.418511658E0,8.481063538E0,-1.299896851E0,9.650980045E0
2.530751542E0,1.228495331E0,7.873027954E0,-1.565594330E0,8.120643789E0
2.540749542E0,-1.648521881E0,6.189179535E0,-2.327958984E0,6.814907244E0
2.550747542E0,-2.212399292E0,4.860692139E0,-3.759282532E0,6.530945096E0
2.560745542E0,-2.062411194E0,5.648054810E0,-3.621868286E0,7.019401181E0
2.570743542E0,-3.663930817E0,1.175490555E1,-7.708969116E0,1.452688536E1
2.580741542E0,-6.272855530E0,2.588462265E1,-1.110331055E1,2.885560450E1
2.590739542E0,-1.137035522E1,3.657913330E1,-2.435734863E0,3.838294902E1
2.600737542E0,-1.038420593E1,3.757830551E1,1.215891541E1,4.083870715E1
2.610735542E0,-5.818400574E0,2.756562698E1,2.297856583E1,3.635563318E1
2.620733542E0,-4.446503448E0,1.789962753E1,1.824570786E1,2.594366809E1
2.630731542E0,-3.617677002E0,1.629107254E1,9.216334534E0,1.906377333E1
2.640729542E0,-2.442171478E0,1.734248611E1,8.030201111E0,1.926681489E1
2.650727542E0,-5.213658142E-1,1.707065140E1,8.004454651E0,1.886134289E1
2.660725542E0,1.552571411E0,1.451591400E1,7.832162933E0,1.656698565E1
2.670723542E0,3.511847076E0,1.072804092E1,7.361391907E0,1.347642470E1
2.680721542E0,4.873116302E0,6.434519348E0,7.507338409E0,1.102317703E1
2.690718542E0,5.445376282E0,2.494562531E0,9.351353760E0,1.110507912E1
2.700716542E0,4.743336182E0,7.987390137E-1,9.979297943E0,1.107806886E1
2.710714542E0,2.844085693E-2,2.347867584E0,9.430688782E0,9.718599795E0
2.720712542E0,-4.835843811E0,4.808899841E0,7.843688965E0,1.039395784E1
2.730710542E0,-6.333778839E0,4.774172058E0,3.894002380E0,8.835877306E0
2.740708542E0,-6.013145599E0,4.914131012E0,6.960525513E-1,7.796864290E0
2.750706542E0,-5.293741608E0,4.590204620E0,-5.998027039E-1,7.032314125E0
2.760704542E0,-4.379891968E0,2.880909119E0,-2.218237152E0,5.692421898E0
2.770702542E0,-3.172502747E0,9.776170349E-1,-3.726800079E0,4.990946561E0
2.780700542E0,-2.260748749E0,-6.179150391E-1,-4.174519043E0,4.787422390E0
2.790698542E0,-2.321073303E0,-1.305734711E0,-2.724634094E0,3.809981018E0
2.800696542E0,-2.580633545E0,-7.310797119E-1,-7.423063660E-1,2.783013794E0
2.810694542E0,-2.287543030E0,-4.475692749E-2,1.579814758E0,2.780408417E0
2.820692542E0,-4.050576782E-1,1.608704681E0,6.067183228E0,6.289889887E0
2.830690542E0,1.064436493E0,4.137695618E0,6.941065979E0,8.150579550E0
2.840688542E0,7.391629028E-1,6.301146698E0,3.961661682E0,7.479677452E0
2.850686542E0,-9.707313538E-1,8.808283081E0,2.464026031E0,9.197803786E0
2.860684542E0,-2.932851105E0,1.367211868E1,-1.413061523E-1,1.398386257E1
2.870682542E0,-3.612138519E0,2.238969040E1,-1.876797180E0,2.275671656E1
2.880680542E0,-9.653425598E-1,3.328044296E1,-2.227368164E0,3.336886182E1
2.890678542E0,7.601492615E0,4.600787613E1,3.448379059E0,4.675894218E1
2.900676542E0,1.534384232E1,4.842954025E1,7.180867310E0,5.130710206E1
2.910673542E0,7.407046967E0,3.555690903E1,1.159399017E1,3.812582763E1
2.920671542E0,-3.780538330E0,2.923779968E1,1.293804520E1,3.219525452E1
2.930669542E0,3.839515686E-1,2.943658630E1,9.566606140E0,3.095448247E1
2.940667542E0,5.738317108E0,2.772878769E1,8.438701630E0,2.954700721E1
2.950665542E0,5.311853943E0,2.210558121E1,4.686753845E0,2.321288811E1
2.960663542E0,2.340233459E0,1.467233871E1,5.346881104E-1,1.486741764E1
2.970661542E0,-3.927083588E0,7.098388824E0,4.417314148E-1,8.124299111E0
2.980659542E0,-6.070326691E0,5.986051941E-1,4.710704041E-1,6.117932791E0
2.990657542E0,-7.595205688E-1,-4.070485382E0,1.347198486E-2,4.140761311E0
3.000655542E0,4.252955933E0,-5.363346863E0,-4.866380310E-1,6.862211036E0
